Species,MatchSpecies,Family,Indiv,Pos,SL,CBL_raw,alpha_Pos_raw,d_raw,D_Pos_raw,alpha_Ant_raw,D_Ant_raw,CBL,alpha_Pos,d,D_Pos,alpha_Ant,D_Ant,Pt1x,Pt1y,Pt2x,Pt2y,Pt3x,Pt3y,Pt4x,Pt4y,Pt5x,Pt5y,Pt6x,Pt6y,Pt7x,Pt7y,Body Shape,Habitat_Initial,Habitat_Friedman,Habitat_FishBase,Habitat,Water_Type,Max_BW_mm,BW_slide,Max_BH_mm,BH_slide,d_BW,D_Pos_BW,D_Ant_BW,SL/Max_BW,d_normCBL,Scan Media Number,DOI,ARK,URL,Website,Scan Source,Match species reference
Amia_calva,NA,NA,1,70,1438,31.1,2.01,9.09,26,2.08,27.09,0.0216,114.9213,0.0063,0.0181,119.1965,0.0188,762.495,-113.149,761.946,-139.147,778.4,-112.711,778.51,-139.805,770.509,-126.515,770.679,-130.807,770.453,-121.715,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.04249831,0.121510794,0.126606154,6.71950057,0.29246591,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA
Amia_calva,NA,NA,1,80,1438,24.33,2.47,10.11,22.45,2.47,23.84,0.0169,141.4651,0.007,0.0156,141.7749,0.0166,624.746,-115.449,624.943,-137.894,633.249,-114.658,632.557,-138.488,628.768,-126.736,628.707,-131.551,628.828,-121.44,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.047250163,0.104885257,0.111399999,6.71950057,0.415656971,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA
Amia_calva,NA,NA,1,90,1438,20.92,2.45,8.51,19.93,2.5,20.75,0.0145,140.416,0.0059,0.0139,143.0377,0.0144,490.964,-111.291,489.285,-131.151,498.177,-110.896,496.201,-131.547,493.739,-120.88,493.807,-124.759,494.011,-116.252,Fusiform,Benthic,demersal,demersal,demersal,freshwater,214.004,1098,317.324,1110,0.039763021,0.093133056,0.096938944,6.71950057,0.406721627,M15309-31984,NA,ark:/87602/m4/M31984,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15309,Morphosource,"Biodiversity Research and Teaching Collections, Texas A&M University, College Station, Texas, USA",NA
Anoplogaster_cornuta,NA,NA,1,30,1242.177,45.22,1.11,1.49,24.92,1.34,26.09,0.0364,63.749,0.0012,0.0201,76.5937,0.021,403.809,45.5212,405.786,20.6832,367.973,42.9262,368.838,16.8524,384.811,31.7166,384.777,32.4928,384.912,31.0079,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.006052266,0.101139627,0.105895259,5.042162219,0.032972489,M15793-29328,doi:10.17602/M2/M29328,ark:/87602/m4/M29328,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15793,Morphosource,"Scripps Institution of Oceanography, La Jolla, CA, USA",NA
Anoplogaster_cornuta,NA,NA,1,40,1242.177,48.94,1,1.55,23.32,1.11,25.01,0.0394,57.5141,0.0013,0.0188,63.6419,0.0201,527.903,59.5854,529.652,36.3264,486.456,54.1642,489.429,29.3312,507.966,44.0211,507.889,44.8108,507.986,43.2602,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.006306396,0.094677935,0.101520268,5.042162219,0.031742701,M15793-29328,doi:10.17602/M2/M29328,ark:/87602/m4/M29328,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15793,Morphosource,"Scripps Institution of Oceanography, La Jolla, CA, USA",NA
Anoplogaster_cornuta,NA,NA,1,60,1242.177,44.09,0.93,1.65,21.46,1.3,25.03,0.0355,53.2013,0.0013,0.0173,74.7481,0.0201,774.69,74.4668,766.146,54.7783,739.585,90.6262,731.227,67.0371,750.447,72.3644,750.668,73.1733,750.19,71.5923,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.006704387,0.087118969,0.101583965,5.042162219,0.037458608,M15793-29328,doi:10.17602/M2/M29328,ark:/87602/m4/M29328,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15793,Morphosource,"Scripps Institution of Oceanography, La Jolla, CA, USA",NA
Anoplogaster_cornuta,NA,NA,1,70,1242.177,44.28,1.1,1.01,23.47,1.19,24.54,0.0356,62.8999,8.00E-04,0.0189,68.0663,0.0198,887.474,32.5723,881.336,9.92111,852.693,43.971,844.802,20.7352,866.017,26.7128,866.116,27.2354,865.917,26.2401,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.004120017,0.095260127,0.099607718,5.042162219,0.022920549,M15793-29328,doi:10.17602/M2/M29328,ark:/87602/m4/M29328,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15793,Morphosource,"Scripps Institution of Oceanography, La Jolla, CA, USA",NA
Anoplogaster_cornuta,NA,NA,1,80,1242.177,43.08,1.05,0.84,21.97,1.18,23.31,0.0347,60.4094,7.00E-04,0.0177,67.4429,0.0188,1000.29,11.3158,997.185,-10.4337,964.296,16.5446,961.094,-6.54898,979.993,2.58729,980.017,2.14443,979.97,2.98353,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.003411358,0.089179243,0.094636696,5.042162219,0.0195104,M15793-29328,doi:10.17602/M2/M29328,ark:/87602/m4/M29328,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15793,Morphosource,"Scripps Institution of Oceanography, La Jolla, CA, USA",NA
Anoplogaster_cornuta,NA,NA,1,90,1242.177,35.73,1.15,0.9,19.92,1.2,19.81,0.0288,65.7786,7.00E-04,0.016,68.6289,0.016,1135.9,1.75363,1136.03,-18.1647,1106.62,2.67699,1105.56,-17.1094,1120.6,-7.34812,1120.63,-7.74522,1120.57,-6.84451,Tadpole shaped,Pelagic,pelagic,pelagic,pelagic,marine,246.358,432,703.544,459,0.003664205,0.080852882,0.080430767,5.042162219,0.02526766,M15793-29328,doi:10.17602/M2/M29328,ark:/87602/m4/M29328,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/15793,Morphosource,"Scripps Institution of Oceanography, La Jolla, CA, USA",NA
Aphareus_furca,NA,NA,1,40,1061.317,31.59,1.25,0.72,23.37,1.36,23.49,0.0298,71.6108,7.00E-04,0.022,77.8479,0.0221,491.598,-150.312,488.465,-127.149,458.847,-130.946,460.271,-154.394,474.036,-141.294,474.041,-141.643,474.014,-140.923,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.003402706,0.110387129,0.110940991,5.012241139,0.022806722,M39899-72047,NA,ark:/87602/m4/M72047,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/39899,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Aphareus_furca,NA,NA,1,50,1061.317,42.84,1.04,0.71,22.73,1.24,22.46,0.0404,59.783,7.00E-04,0.0214,70.7887,0.0212,585.442,-98.0346,594.618,-118.835,553.508,-113.696,562.562,-134.251,572.304,-117.18,572.392,-117.533,572.186,-116.857,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.003337462,0.107367158,0.106074277,5.012241139,0.016496698,M39899-72047,NA,ark:/87602/m4/M72047,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/39899,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Aphareus_furca,NA,NA,1,60,1061.317,44.57,1.04,0.62,23.31,1.13,22.61,0.042,59.5795,6.00E-04,0.022,64.5301,0.0213,693.97,-69.7596,683.319,-49.0253,659.46,-86.8015,649.519,-66.4932,670.483,-68.593,670.587,-68.8537,670.375,-68.2756,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.002907962,0.110085132,0.106783394,5.012241139,0.013815002,M39899-72047,NA,ark:/87602/m4/M72047,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/39899,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Aphareus_furca,NA,NA,1,70,1061.317,41.54,1.01,1.38,21.3,1.18,22.99,0.0391,57.8674,0.0013,0.0201,67.5775,0.0217,795.231,-17.5293,787.065,2.14681,764.295,-35.0762,753.796,-14.624,774.153,-16.6773,774.368,-17.2683,774.045,-15.925,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.00652477,0.10060853,0.10857208,5.012241139,0.033261825,M39899-72047,NA,ark:/87602/m4/M72047,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/39899,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Aphareus_furca,NA,NA,1,80,1061.317,35.52,1.17,1.08,23.67,1.18,24.08,0.0335,67.0493,0.001,0.0223,67.608,0.0227,934.097,35.2349,927.58,57.9871,892.937,47.8115,900.14,24.8307,913.925,40.8922,913.925,40.4234,913.925,41.5016,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.005091974,0.111771933,0.113736792,5.012241139,0.030358883,M39899-72047,NA,ark:/87602/m4/M72047,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/39899,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Aphareus_furca,NA,NA,1,90,1061.317,42.58,1.17,0.96,23.51,1.14,23.04,0.0401,66.7903,9.00E-04,0.0222,65.3988,0.0217,1004.38,71.3182,1007.3,47.9907,968.726,66.4141,972.039,43.6168,988.21,57.0036,988.241,56.5879,988.099,57.5416,Fusiform,Reef associated,pelagic,pelagic,pelagic,marine,211.745,615,342.931,601,0.004553654,0.111027623,0.10879488,5.012241139,0.022643181,M39899-72047,NA,ark:/87602/m4/M72047,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/39899,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Catostomus_catostomus,NA,NA,1,40,1306,30.78,1.45,2.63,22.31,1.76,22.12,0.0236,83.2017,0.002,0.0171,100.9818,0.0169,573.692,270.71,577.197,248.679,551.76,266.905,556.367,245.274,563.057,257.604,563.11,256.312,562.989,258.944,Fusiform,Benthic,demersal,demersal,demersal,freshwater,229.793,463,304.208,495,0.011465884,0.09707898,0.096243844,5.683375908,0.085612255,M38714-70337,NA,ark:/87602/m4/M70337,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/38714,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Catostomus_catostomus,NA,NA,1,50,1306,31.05,1.51,2.71,21.66,1.56,21.73,0.0238,86.3902,0.0021,0.0166,89.1895,0.0166,690.039,287.406,693.453,266.017,667.545,283.992,671.361,262.602,680.337,275.014,680.461,273.68,680.275,276.379,Fusiform,Benthic,demersal,demersal,demersal,freshwater,229.793,463,304.208,495,0.011773211,0.094257653,0.09455346,5.683375908,0.087130319,M38714-70337,NA,ark:/87602/m4/M70337,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/38714,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Catostomus_catostomus,NA,NA,1,60,1306,31.32,1.55,2.83,21.64,1.55,21.78,0.024,88.6017,0.0022,0.0166,88.8575,0.0167,835.339,301.79,836.622,280.189,812.95,299.817,814.824,278.118,824.975,289.653,825.076,288.376,824.825,291.197,Fusiform,Benthic,demersal,demersal,demersal,freshwater,229.793,463,304.208,495,0.012324764,0.094167658,0.094779964,5.683375908,0.090412869,M38714-70337,NA,ark:/87602/m4/M70337,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/38714,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Catostomus_catostomus,NA,NA,1,70,1306,32.48,1.55,3.37,22.08,1.55,23.2,0.0249,88.6664,0.0026,0.0169,88.8016,0.0178,957.44,312.168,959.163,290.155,934.565,311.02,935.905,287.857,947.072,299.901,947.296,298.377,947.19,301.743,Fusiform,Benthic,demersal,demersal,demersal,freshwater,229.793,463,304.208,495,0.014655227,0.096087907,0.100967948,5.683375908,0.103692707,M38714-70337,NA,ark:/87602/m4/M70337,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/38714,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Catostomus_catostomus,NA,NA,1,80,1306,31.03,1.57,3.38,21.59,1.58,21.89,0.0238,89.9291,0.0026,0.0165,90.3649,0.0168,1091.88,317.89,1091.03,296.319,1069.99,318.207,1069.57,296.319,1080.65,306.886,1080.61,305.299,1080.78,308.676,Fusiform,Benthic,demersal,demersal,demersal,freshwater,229.793,463,304.208,495,0.014714444,0.093944291,0.095268477,5.683375908,0.108957607,M38714-70337,NA,ark:/87602/m4/M70337,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/38714,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Catostomus_catostomus,NA,NA,1,90,1306,29.02,1.51,3.37,20.2,1.52,20.01,0.0222,86.5789,0.0026,0.0155,86.9028,0.0153,1211.62,310.36,1209.74,290.248,1190.48,312.615,1188.6,292.692,1199.99,301.126,1199.94,299.479,1200.11,302.847,Fusiform,Benthic,demersal,demersal,demersal,freshwater,229.793,463,304.208,495,0.014675328,0.087903795,0.08708492,5.683375908,0.116211282,M38714-70337,NA,ark:/87602/m4/M70337,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/38714,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Cephalopholis_argus,NA,NA,1,30,1316,43.27,1.68,0.34,36.29,1.17,23.31,0.0329,96.2427,3.00E-04,0.0276,66.7798,0.0177,1320.11,-120.927,1309.37,-155.588,1351.69,-135.28,1343.72,-157.183,1330.68,-141.544,1330.7,-141.367,1330.66,-141.7,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.001650203,0.178538157,0.114679834,6.474975891,0.007751938,M42561-76793,NA,ark:/87602/m4/M76793,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/42561,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Cephalopholis_argus,NA,NA,1,40,1316,53.76,0.96,1.19,27.63,1.36,30.16,0.0409,55.2401,9.00E-04,0.021,78.0723,0.0229,1196.91,-103.572,1193.51,-130.989,1241.79,-108.727,1237.69,-138.605,1221.29,-121.334,1221.29,-121.891,1221.4,-120.71,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.0058359,0.13593028,0.148383218,6.474975891,0.022062396,M42561-76793,NA,ark:/87602/m4/M76793,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/42561,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Cephalopholis_argus,NA,NA,1,50,1316,53.93,0.97,2.4,23.2,0.99,27.63,0.041,55.3963,0.0018,0.0176,56.6813,0.021,1050.78,-100.694,1048.97,-123.819,1098.48,-101.871,1096.42,-129.423,1071.88,-114.212,1071.84,-115.339,1072.02,-112.943,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.011822006,0.114127484,0.135939577,6.474975891,0.044553769,M42561-76793,NA,ark:/87602/m4/M76793,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/42561,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Cephalopholis_argus,NA,NA,1,60,1316,51.41,1.04,3.76,25.03,1.11,28.11,0.0391,59.6184,0.0029,0.019,63.8092,0.0214,923.743,-79.5098,918.427,-103.964,967.69,-87.0707,961.429,-114.479,942.556,-95.7063,942.284,-97.7011,942.874,-93.9835,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.018520235,0.12312955,0.138327925,6.474975891,0.073216526,M42561-76793,NA,ark:/87602/m4/M76793,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/42561,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Cephalopholis_argus,NA,NA,1,70,1316,49.55,1.12,3.2,25.75,1.18,27.81,0.0377,64.0797,0.0024,0.0196,67.5495,0.0211,796.851,-49.8268,790.876,-74.87,837.149,-58.8525,830.793,-85.9297,813.689,-67.8098,813.408,-69.3391,814.002,-66.194,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.015748074,0.126675897,0.136846299,6.474975891,0.064591754,M42561-76793,NA,ark:/87602/m4/M76793,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/42561,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Cephalopholis_argus,NA,NA,1,80,1316,46.33,1.08,3.23,23.46,1.03,23.48,0.0352,61.6503,0.0025,0.0178,58.8855,0.0178,667.933,-29.2877,664.293,-52.4655,707.736,-34.0203,704.824,-57.3195,685.627,-43.209,685.507,-44.6927,685.945,-41.4974,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.015868513,0.115437033,0.115528477,6.474975891,0.069609014,M42561-76793,NA,ark:/87602/m4/M76793,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/42561,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Cephalopholis_argus,NA,NA,1,90,1316,48.28,0.97,2.94,22.03,1.01,23.83,0.0367,55.5922,0.0022,0.0167,57.8929,0.0181,534.554,-17.656,532.755,-39.6105,576.904,-20.2953,574.984,-44.0494,554.471,-30.4233,554.405,-31.8555,554.605,-28.9246,Fusiform,Reef associated,benthic,benthic,benthic,marine,203.244,1239,476.184,1231,0.014454134,0.108382455,0.117255952,6.474975891,0.060844364,M42561-76793,NA,ark:/87602/m4/M76793,http://www.morphosource.org/Detail/MediaDetail/Show/media_id/42561,Morphosource,"University of Washington, Burke Museum of Natural History and Culture, Seattle, Washington, USA",NA
Chaetostoma_lineopunctatum,NA,NA,1,50,861,26.08,0.88,0.6,14.1,1.33,13.17,0.0303,50.5195,7.00E-04,0.0164,76.2253,0.0153,497.001,-249.035,496.81,-263.133,474.139,-246.939,473.376,-260.085,482.059,-254.7,482.099,-254.977,482.034,-254.383,Tadpole shaped,Benthic,demersal,demersal,demersal,freshwater,296.38,422.5,199.233,457.5,0.002016148,0.047571677,0.044429866,2.905054322,0.022910741,AUM 51201,NA,NA,NA,NA,Matt Kolmann: Kolmann - MKatfish4v2 - 2/Z --> MkatfishCan4_V2_27.0um_2K_Rec,NA
Chaetostoma_lineopunctatum,NA,NA,1,60,861,28.35,0.81,1.78,13.01,1.1,12.19,0.0329,46.2851,0.0021,0.0151,63.0618,0.0142,578.012,-250.218,578.364,-263.22,553.178,-251.272,552.943,-263.455,562.975,-256.968,563.267,-258.076,563.339,-256.294,Tadpole shaped,Benthic,demersal,demersal,demersal,freshwater,296.38,422.5,199.233,457.5,0.006017457,0.043885431,0.041113659,2.905054322,0.062910369,AUM 51201,NA,NA,NA,NA,Matt Kolmann: Kolmann - MKatfish4v2 - 2/Z --> MkatfishCan4_V2_27.0um_2K_Rec,NA
Chaetostoma_lineopunctatum,NA,NA,1,70,861,26.94,0.89,2.66,11.7,0.92,11.87,0.0313,51.203,0.0031,0.0136,52.7252,0.0138,657.669,-249.725,658.36,-261.406,633.993,-250.227,633.742,-262.097,645.816,-255.603,645.839,-256.889,645.884,-254.227,Tadpole shaped,Benthic,demersal,demersal,demersal,freshwater,296.38,422.5,199.233,457.5,0.008982996,0.039481141,0.040058889,2.905054322,0.098839632,AUM 51201,NA,NA,NA,NA,Matt Kolmann: Kolmann - MKatfish4v2 - 2/Z --> MkatfishCan4_V2_27.0um_2K_Rec,NA
Chaetostoma_lineopunctatum,NA,NA,1,80,861,26.1,0.95,3.52,12.01,0.96,11.81,0.0303,54.24,0.0041,0.0139,55.1456,0.0137,733.085,-245.365,734.032,-257.338,710.345,-247.26,710.862,-259.061,721.86,-252.133,721.968,-253.778,721.806,-250.265,Tadpole shaped,Benthic,demersal,demersal,demersal,freshwater,296.38,422.5,199.233,457.5,0.011865623,0.040523628,0.039855319,2.905054322,0.134717786,AUM 51201,NA,NA,NA,NA,Matt Kolmann: Kolmann - MKatfish4v2 - 2/Z --> MkatfishCan4_V2_27.0um_2K_Rec,NA
