"","Species","Indiv","SL","CBL","d","alpha_Pos","alpha_Ant","D_Pos","D_Ant","BodyShapeI","DepthRangeShallow","DepthRangeDeep","DepthRangeComShallow","DepthRangeComDeep","Length","CommonLength","Weight","DemersPelag","newdepthrangeshallow","newdepthrangedeep"
"18","Apteronotus cuchillejo",1,1486,0.0239,0.0014375,53.780825,60.591425,0.011325,0.0114625,"elongated",NA,NA,NA,NA,18.9,NA,NA,"benthopelagic",0,113
"19","Aulorhynchus flavidus",1,3499,0.01551977,0.00150057416666667,45.7825387116667,NA,0.005692326,NA,"elongated",0,30,NA,NA,18,NA,NA,"benthopelagic",NA,NA
"20","Aulorhynchus flavidus",2,3931,0.0159406703333333,0.00164298216666667,43.8191052633333,NA,0.006145005,NA,"elongated",0,30,NA,NA,18,NA,NA,"benthopelagic",NA,NA
"21","Aulorhynchus flavidus",3,3912,0.0154703955,0.00178073166666667,46.7752148916667,NA,0.006107229,NA,"elongated",0,30,NA,NA,18,NA,NA,"benthopelagic",NA,NA
"22","Catostomus catostomus",1,1306,0.0237166666666667,0.00235,87.228,90.8496833333333,0.0165333333333333,0.0166833333333333,"fusiform / normal",NA,180,NA,NA,64,22.5,3300,"demersal",1,122
"23","Centropomus undecimalis",1,1501,0.0336166666666667,0.000316666666666667,58.5630833333333,63.509,0.0173833333333333,0.01755,"fusiform / normal",NA,22,NA,NA,140,50,24320,"reef-associated",1,40
"24","Cephalopholis argus",1,1316,0.0376428571428571,0.00185714285714286,63.9742428571429,64.2386428571428,0.0199,0.02,"fusiform / normal",1,40,1,15,60,40,NA,"reef-associated",1,15
"25","Chaetostoma lineopunctatum",1,861,0.03084,0.00254,50.4685,61.0331,0.01454,0.0139,NA,NA,NA,NA,NA,14.3,NA,NA,"demersal",NA,180
"26","Chanos chanos",1,1414,0.0238428571428571,0.0023,79.5895285714286,83.7720571428571,0.0155714285714286,0.0152571428571429,"elongated",1,30,NA,15,180,100,14000,"benthopelagic",NA,15
"27","Cheilopogon melanurus",1,1300,0.0224,0.000128571428571429,71.3855428571429,68.9650714285714,0.0127571428571429,0.0126857142857143,"elongated",0,20,NA,NA,32,25,NA,"pelagic-neritic",0,NA
"28","Chiasmodon niger",1,1143,0.0356428571428571,0.00172857142857143,63.1024285714286,62.8374,0.0184857142857143,0.0182,"elongated",700,2745,750,NA,25,NA,NA,"pelagic-oceanic",750,NA
"29","Coryphaenoides filifer",1,985,0.0296285714285714,0.00187142857142857,70.1483857142857,65.1362714285714,0.0162428571428571,0.0155571428571429,"elongated",1285,2904,NA,NA,55,NA,NA,"bathydemersal",0,820
"30","Ctenochaetus strigosus",1,1107,0.0424666666666667,0.00221666666666667,59.6084333333333,60.0370833333333,0.0214166666666667,0.0208666666666667,"short and / or deep",1,113,NA,NA,15,NA,NA,"reef-associated",1,8
"31","Cyprinus carpio",1,1224,0.03575,0.0012,52.1842666666667,53.7418166666667,0.0161333333333333,0.0154166666666667,"fusiform / normal",NA,NA,NA,NA,120,31,40090,"benthopelagic",NA,22
"32","Diplectrum formosum",1,719,0.0390333333333333,0.00108333333333333,60.32455,62.6284833333333,0.0200166666666667,0.0191166666666667,"fusiform / normal",1,80,NA,NA,30,16,NA,"reef-associated",NA,NA
"33","Elops saurus",1,1207,0.0179142857142857,0.00795714285714286,121.919471428571,118.3728,0.0154428571428571,0.0158285714285714,"elongated",0,50,NA,NA,100,60,10060,"reef-associated",NA,NA
"34","Equetus lanceolatus",1,1993,0.0368857142857143,0.000657142857142857,44.9773571428571,52.2944714285714,0.0135428571428571,0.0148142857142857,"fusiform / normal",10,60,NA,NA,25,15,NA,"reef-associated",NA,50
"35","Fundulus heteroclitus",1,1399,0.0251285714285714,0.000771428571428571,71.1692857142857,73.3008714285714,0.0149714285714286,0.0147,"fusiform / normal",NA,NA,NA,NA,15,8.9,NA,"benthopelagic",50,275
"36","Gadopsis marmoratus",1,1520,0.0223,0.0012,75.5659714285714,77.9256,0.0132857142857143,0.0141571428571429,"fusiform / normal",NA,NA,NA,NA,60,30,NA,"benthopelagic",0,200
"37","Halieutichthys aculeatus",1,813,0.0502833333333333,0.000366666666666667,54.3386666666667,50.99315,0.0195333333333333,0.0202,"short and / or deep",5,820,5,150,10,NA,NA,"reef-associated",5,150
"38","Hemitaurichthys polylepis",1,953,0.0394142857142857,0.000471428571428571,69.4823714285714,74.4412571428571,0.0230285714285714,0.0228571428571429,"short and / or deep",3,60,NA,NA,18,NA,NA,"reef-associated",1,1646
"39","Hypomesus pretiosus",1,1637,0.017075,0.004275,86.2325625,96.49575,0.0118875,0.012225,"elongated",NA,NA,NA,NA,30.5,15,NA,"benthopelagic",500,110
"40","Hypsypops rubicundus",1,689,0.0370666666666667,0.00095,60.7575666666667,68.9426,0.0198666666666667,0.0189333333333333,"short and / or deep",0,30,NA,NA,30,NA,NA,"reef-associated",NA,210
"41","Labroides dimidiatus",1,1601,0.0349571428571429,0.00161428571428571,53.7180142857143,51.9485,0.0154714285714286,0.0154857142857143,"elongated",1,40,1,30,14,NA,NA,"reef-associated",1,30
"42","Lagodon rhomboides",1,1215,0.0349166666666667,0.00186666666666667,48.78035,54.6256333333333,0.01535,0.0144833333333333,"fusiform / normal",NA,NA,NA,NA,40,18,1510,"demersal",NA,20
"43","Lepidogalaxias salamandroides",1,2345,0.0239875,0.006725,79.3596,82.446175,0.0157875,0.0151875,"elongated",NA,NA,NA,NA,7.4,4,NA,"demersal",NA,30
"44","Lepomis macrochirus",1,1570,0.0212117366666667,0.00139353966666667,75.54326977,NA,0.0127723448333333,NA,"short and / or deep",NA,NA,NA,NA,41,19.05,2150,"benthopelagic",0,50
"45","Lepomis macrochirus",2,1732,0.0312893963333333,0.0021082475,65.9996228583333,NA,0.0174897501666667,NA,"short and / or deep",NA,NA,NA,NA,41,19.05,2150,"benthopelagic",0,50
"46","Lepomis macrochirus",3,1570,0.0308606065,0.0031917975,68.8805299283333,NA,0.017396087,NA,"short and / or deep",NA,NA,NA,NA,41,19.05,2150,"benthopelagic",0,50
"47","Lumpenus sagitta",1,3433,0.0117625,0.00215,75.1176,NA,0.0085375,NA,"eel-like",0,425,NA,NA,51,NA,NA,"benthopelagic",700,2745
"48","Lumpenus sagitta",2,3434,0.0107,0.002425,71.6203875,NA,0.0079875,NA,"eel-like",0,425,NA,NA,51,NA,NA,"benthopelagic",700,2745
"49","Lumpenus sagitta",3,2561,0.01570760475,0.004511587125,75.71691633625,NA,0.009406692625,NA,"eel-like",0,425,NA,NA,51,NA,NA,"benthopelagic",700,2745
"50","Malacocottus zonurus",1,1030,0.0289833333333333,0.00315,75.7243333333333,76.1178833333333,0.0172833333333333,0.0179666666666667,"fusiform / normal",27,1980,NA,NA,35,NA,1240,"bathydemersal",0,30
"51","Malacosteus niger",1,1651,0.0261625,0.0030125,76.0397125,75.9853625,0.0162375,0.016125,"elongated",500,3886,NA,NA,25.6,NA,NA,"bathypelagic",3,40
"52","Menidia beryllina",1,889,0.0241571428571429,4e-04,61.4297,63.2325571428571,0.0122142857142857,0.0128428571428571,"elongated",0,30,NA,NA,15,7.75,NA,"pelagic-neritic",0,600
"53","Microgadus proximus",1,1398,0.0213285714285714,0.00174285714285714,82.9509285714286,81.3876714285714,0.0144714285714286,0.0147857142857143,"fusiform / normal",0,275,25,120,30.5,NA,NA,"demersal",25,120
"54","Mirorictus taningi",1,1822,0.0272714285714286,0.0104,86.2480571428571,87.4540571428571,0.0188571428571429,0.0183285714285714,"fusiform / normal",NA,1750,NA,NA,13.7,NA,NA,"bathydemersal",0,30
"55","Mugil cephalus",1,1822,0.0365428571428571,0.000585714285714286,54.0692571428571,57.0578857142857,0.0168428571428571,0.0170428571428571,"fusiform / normal",0,120,0,10,100,50,NA,"benthopelagic",0,10
"56","Myoxocephalus polyacanthocephalus",1,2485,0.0281914028333333,0.0025640685,73.875088445,NA,0.017295915,NA,"fusiform / normal",0,775,NA,NA,80,NA,9000,"demersal",1,80
"57","Myoxocephalus polyacanthocephalus",2,2058,0.0268611688333333,0.00323273,72.76277602,NA,0.0165968668333333,NA,"fusiform / normal",0,775,NA,NA,80,NA,9000,"demersal",1,80
"58","Myoxocephalus polyacanthocephalus",3,2350,0.026126197,0.00298692466666667,84.2104865916667,NA,0.017213239,NA,"fusiform / normal",0,775,NA,NA,80,NA,9000,"demersal",1,80
"59","Myripristis jacobus",1,597,0.0358666666666667,0.0018,62.0840833333333,67.7417166666667,0.0188333333333333,0.0193333333333333,"fusiform / normal",0,210,2,35,25,20,NA,"reef-associated",2,35
"60","Nannaethiops unitaeniatus",1,1144,0.0317142857142857,0.000828571428571429,67.7198857142857,69.5481,0.0176571428571429,0.0181428571428571,"fusiform / normal",NA,NA,NA,NA,6.2,NA,NA,"pelagic",NA,3886
"61","Nealotus tripes",1,1810,0.0243875,0.0019,52.652625,49.0403625,0.0103625,0.0101875,"elongated",914,1646,NA,NA,25,15,NA,"bathypelagic",10,NA
"62","Nectamia fusca",1,617,0.0331,0.00188333333333333,63.1822166666667,62.7098833333333,0.01725,0.0175,"short and / or deep",1,20,NA,NA,11.2,NA,NA,"reef-associated",0,61
"63","Novumbra hubbsi",1,1806,0.0254285714285714,0.00314285714285714,68.7683,77.5334428571429,0.0154142857142857,0.0145285714285714,"fusiform / normal",NA,NA,NA,NA,8,5.5,NA,"demersal",NA,NA
"64","Oncorhynchus gorbuscha",1,1329,0.0192,0.00605,111.699475,106.4745625,0.01565,0.0158625,"fusiform / normal",0,250,NA,NA,76,50.5,6800,"demersal",5,NA
"65","Ophidion scrippsae",1,2082,0.0186125,0.0015375,77.0158625,81.5986375,0.0121,0.0117125,"elongated",0,110,3,7,28,NA,NA,"demersal",3,7
"66","Ophiodon elongatus",1,3274,0.0187465617142857,0.00314065814285714,74.79651367,NA,0.0115967822857143,NA,"elongated",0,475,NA,NA,152,NA,59110,"demersal",NA,NA
"67","Ophiodon elongatus",2,1472,0.0204763505714286,0.00421085085714286,83.6969168771429,NA,0.0128156825714286,NA,"elongated",0,475,NA,NA,152,NA,59110,"demersal",NA,NA
"68","Ophiodon elongatus",3,3338,0.0189157741428571,0.00312145914285714,84.0251737157143,NA,0.0132290182857143,NA,"elongated",0,475,NA,NA,152,NA,59110,"demersal",NA,NA
"69","Opsanus pardus",1,1015,0.02755,0.00123333333333333,70.3429,79.1968,0.0150166666666667,0.0176166666666667,"elongated",NA,NA,NA,NA,38,NA,NA,"reef-associated",NA,NA
"70","Osteoglossum bicirrhosum",1,1193,0.0170571428571429,0.00437142857142857,104.222042857143,96.0200857142857,0.0140285714285714,0.0137285714285714,"elongated",NA,NA,NA,NA,90,NA,6000,"benthopelagic",NA,NA
"71","Parophrys vetulus",1,1003,0.0234571428571429,0.00281428571428571,88.8499142857143,85.9522428571429,0.0160285714285714,0.0162,"short and / or deep",0,550,NA,NA,49,33,1500,"demersal",NA,2904
"72","Percopsis omiscomaycus",1,1071,0.0259714285714286,0.000585714285714286,72.5195428571429,72.9911714285714,0.0156571428571429,0.0152571428571429,"elongated",10,61,NA,NA,20,8.75,NA,"demersal",NA,NA
"73","Phalacronotus bleekeri",1,1260,0.0184285714285714,3e-04,71.0191,70.6878714285714,0.0104857142857143,0.0112,"elongated",NA,NA,NA,NA,60,NA,NA,"demersal",0,550
"74","Pholis laeta",1,4389,0.012375,0.001375,63.531475,NA,0.0102375,NA,"eel-like",0,73,NA,NA,25,NA,NA,"demersal",1,30
"75","Pholis laeta",2,3548,0.012,0.0015625,53.32995,NA,0.0088875,NA,"eel-like",0,73,NA,NA,25,NA,NA,"demersal",1,30
"76","Pholis laeta",3,4133,0.0117875,0.0034625,64.9136625,NA,0.00965,NA,"eel-like",0,73,NA,NA,25,NA,NA,"demersal",1,30
"77","Pholis ornata",1,4222,0.0111625,0.00225,67.9155125,NA,0.00915,NA,"eel-like",0,50,NA,NA,30,NA,NA,"demersal",NA,NA
"78","Pholis ornata",2,2928,0.014968176375,0.002822035625,61.21723510375,NA,0.00908397725,NA,"eel-like",0,50,NA,NA,30,NA,NA,"demersal",NA,NA
"79","Pholis ornata",3,3373,0.0153853715,0.002494319375,54.45701912375,NA,0.009028937625,NA,"eel-like",0,50,NA,NA,30,NA,NA,"demersal",NA,NA
"80","Phytichthys chirus",1,4713,0.0129125,0.002,84.7480125,NA,0.0097875,NA,"elongated",0,12,NA,NA,20,NA,NA,"demersal",NA,NA
"81","Phytichthys chirus",2,4589,0.01295,0.002025,62.0682875,NA,0.0102,NA,"elongated",0,12,NA,NA,20,NA,NA,"demersal",NA,NA
"82","Phytichthys chirus",3,3156,0.018806172,0.0018008295,58.56603701125,NA,0.012022081375,NA,"elongated",0,12,NA,NA,20,NA,NA,"demersal",NA,NA
"83","Pimelodella cristata",1,1379,0.0247428571428571,0.000585714285714286,76.0045142857143,74.4933142857143,0.0147714285714286,0.0150714285714286,"elongated",NA,NA,NA,NA,34,NA,NA,"demersal",27,293
"84","Polymixia lowei",1,1401,0.0318,0.00218571428571429,61.8267142857143,65.3018285714286,0.0169142857142857,0.0163714285714286,"elongated",50,600,150,600,20,15,NA,"bathydemersal",150,600
"85","Polypterus senegalus",1,1129,0.02535,0.0004125,82.1756,87.9179,0.017125,0.016875,"elongated",NA,NA,NA,NA,70,NA,207,"demersal",NA,1980
"86","Remora remora",1,1548,0.0323285714285714,0.00135714285714286,50.0922857142857,50.4983428571429,0.0137571428571429,0.0138428571428571,"elongated",0,200,NA,NA,86.4,40,1070,"reef-associated",1285,250
"87","Risor ruber",1,708,0.0352428571428571,0.0029,56.9362,65.3337428571429,0.0173714285714286,0.0178428571428571,"fusiform / normal",NA,NA,NA,NA,2.5,NA,NA,"reef-associated",0,NA
"88","Roeboides affinis",1,1223,0.0265142857142857,0.00221428571428571,74.495,78.6139,0.0160571428571429,0.0167571428571429,"elongated",NA,NA,NA,NA,11,NA,NA,"benthopelagic",1,NA
"89","Ronquilus jordani",1,3815,0.0182625,0.0014,69.2374,NA,0.0118625,NA,"elongated",3,275,NA,NA,20,NA,NA,"demersal",0,8
"90","Ronquilus jordani",2,3664,0.0196875,0.00125,64.2789625,NA,0.0131625,NA,"elongated",3,275,NA,NA,20,NA,NA,"demersal",0,8
"91","Ronquilus jordani",3,3544,0.021297909,0.00222287475,74.09353090625,NA,0.013346514625,NA,"elongated",3,275,NA,NA,20,NA,NA,"demersal",0,8
"92","Salarias fasciatus",1,1256,0.0303857142857143,0.00168571428571429,72.5619,70.9901714285714,0.0178142857142857,0.0179428571428571,"elongated",0,8,NA,NA,14,NA,NA,"reef-associated",914,NA
"93","Serrasalmus rhombeus",1,913,0.0273,0.00195,88.07885,89.5674166666667,0.0191666666666667,0.0192666666666667,"short and / or deep",NA,NA,NA,NA,41.5,NA,3000,"benthopelagic",NA,60
"94","Stenobrachius leucopsaurus",1,1466,0.0283125,0.0031875,65.095025,69.1786875,0.01605,0.0152625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Stephanolepis hispidus",1,654,0.05284,0.00298,60.2578,70.51412,0.03038,0.02878,"short and / or deep",0,293,NA,NA,27.5,NA,NA,"reef-associated",0,NA
"96","Symphysodon discus",1,600,0.0336142857142857,0.00208571428571429,80.4346,99.2153142857143,0.0235142857142857,0.0234142857142857,"short and / or deep",NA,NA,NA,NA,12.3,NA,NA,"benthopelagic",NA,NA
"97","Xiphister atropurpureus",1,3480,0.01255,0.0032875,71.0420625,NA,0.0091375,NA,"elongated",8,12,NA,NA,30.5,NA,NA,"demersal",1,30
"98","Xiphister atropurpureus",2,4320,0.0157375,0.001575,59.5291125,NA,0.0111625,NA,"elongated",8,12,NA,NA,30.5,NA,NA,"demersal",1,30
"99","Xiphister atropurpureus",3,4011,0.0125875,0.001225,57.195825,NA,0.008575,NA,"elongated",8,12,NA,NA,30.5,NA,NA,"demersal",1,30
"100","Xiphister mucosus",1,4490,0.0124,0.0024,68.9014875,NA,0.0087375,NA,NA,0,18,NA,NA,58,NA,NA,"demersal",0,30
"101","Xiphister mucosus",2,4450,0.01175,0.00165,65.3584375,NA,0.009025,NA,NA,0,18,NA,NA,58,NA,NA,"demersal",0,30
"102","Xiphister mucosus",3,3920,0.0111625,0.0010625,63.0429,NA,0.0080375,NA,NA,0,18,NA,NA,58,NA,NA,"demersal",0,30
