"","Genus","Species","Body.Shape","Habitat_Friedman","Habitat","d_mean","CBL_mean","D_Pos_mean","alpha_Pos_mean","d_max","CBL_max","D_Pos_max","alpha_Pos_max","Family","MatchSpecies","Tip"
"Cyprinidae_Discherodontus_ashmeadi_I2636-31","Discherodontus","ashmeadi","","","benthic",0.00116666666666667,0.0281333333333333,0.0161666666666667,67.80255,0.0018,0.0297,0.0173,75.5482,"Cyprinidae","ashmeadi",150
"Elopidae_Elops_saurus_E00769","Elops","saurus","","pelagic","pelagic",0.00795714285714286,0.0179142857142857,0.0154428571428571,121.919471428571,0.0091,0.0188,0.0162,126.7279,"Elopidae","saurus",25
"Engraulidae_Engraulis_mordax_eurystole_E00351","Engraulis","mordax","","pelagic","pelagic",0.00361428571428571,0.0225857142857143,0.0125285714285714,65.1494857142857,0.0042,0.0237,0.014,74.6092,"Engraulidae","mordax",55
"Fundulidae_Fundulus_heteroclitus_G01293","Fundulus","heteroclitus","Fusiform","benthopelagic","demersal",0.000771428571428571,0.0251285714285714,0.0149714285714286,71.1692857142857,0.0018,0.0276,0.0175,81.1897,"Fundulidae","heteroclitus",742
"Percichthyidae_Gadopsis_marmoratus_E01144","Gadopsis","marmoratus","","benthopelagic","demersal",0.0012,0.0223,0.0132857142857143,75.5659714285714,0.0021,0.0252,0.0155,84.4111,"Percichthyidae","marmoratus",1075
"Ogcocephalidae_Halieutichthys_aculeatus_E01122","Halieutichthys","aculeatus","Tadpole shaped","benthic","benthic",0.000366666666666667,0.0502833333333333,0.0195333333333333,54.3386666666667,8e-04,0.0705,0.0242,83.0822,"Ogcocephalidae","aculeatus",1376
"Chaetodontidae_Hemitaurichthys_polylepis_E00240","Hemitaurichthys","polylepis","Deep bodied","pelagic","pelagic",0.000471428571428571,0.0394142857142857,0.0230285714285714,69.4823714285714,8e-04,0.042,0.0249,73.1606,"Chaetodontidae","polylepis",1514
"Osmeridae_Hypomesus_pretiosus_G01333","Hypomesus","pretiosus","","demersal","demersal",0.004275,0.017075,0.0118875,86.2325625,0.0056,0.0191,0.013,91.1346,"Osmeridae","pretiosus",475
"Pomacentridae_Hypsypops_rubicundus_E00459","Hypsypops","rubicundus","Deep bodied","demersal","demersal",0.00095,0.0370666666666667,0.0198666666666667,60.7575666666667,0.0021,0.0398,0.0251,75.8191,"Pomacentridae","rubicundus",777
"Labridae_Labroides_dimidiatus_E00848","Labroides","dimidiatus","Fusiform","demersal","demersal",0.00161428571428571,0.0349571428571429,0.0154714285714286,53.7180142857143,0.0028,0.037,0.0172,59.6364,"Labridae","dimidiatus",1657
"Sparidae_Lagodon_rhomboides_G01346","Lagodon","rhomboides","Deep bodied","demersal","demersal",0.00186666666666667,0.0349166666666667,0.01535,48.78035,0.0025,0.0377,0.0168,60.642,"Sparidae","rhomboides",1480
"Lepidogalaxiidae_Lepidogalaxias_salamandroides_G01350","Lepidogalaxias","salamandroides","Elongate","demersal","demersal",0.006725,0.0239875,0.0157875,79.3596,0.0078,0.0266,0.0173,86.065,"Lepidogalaxiidae","salamandroides",449
"Centrarchidae_Lepomis_macrochirus_E01113","Lepomis","macrochirus","","benthopelagic","demersal",0.00223119488888889,0.0277872465,0.0158860606666667,70.1411408522222,0.004077413,0.033249655,0.018359606,98.54889106,"Centrarchidae","macrochirus",1088
"Psychrolutidae_Malacocottus_zonurus_E00253","Malacocottus","zonurus","","benthic","benthic",0.00315,0.0289833333333333,0.0172833333333333,75.7243333333333,0.0035,0.0313,0.0196,82.2953,"Psychrolutidae","zonurus",1289
"Stomiidae_Malacosteus_niger_E00783","Malacosteus","niger","","pelagic","pelagic",0.0030125,0.0261625,0.0162375,76.0397125,0.0039,0.0278,0.0192,87.1677,"Stomiidae","niger",507
"Atherinopsidae_Menidia_beryllina_E00174","Menidia","beryllina","Fusiform","pelagic","demersal",4e-04,0.0241571428571429,0.0122142857142857,61.4297,9e-04,0.0261,0.0141,67.3208,"Atherinopsidae","beryllina",749
"Gadidae_Microgadus_proximus_E00333","Microgadus","proximus","Fusiform","demersal","demersal",0.00174285714285714,0.0213285714285714,0.0144714285714286,82.9509285714286,0.0023,0.0231,0.0164,94.5905,"Gadidae","proximus",634
"Mugilidae_Mugil_cephalus_E00049","Mugil","cephalus","","benthopelagic","pelagic",0.000585714285714286,0.0365428571428571,0.0168428571428571,54.0692571428571,8e-04,0.0396,0.018,61.2156,"Mugilidae","cephalus",817
"Psychrolutidae_Myoxocephalus_polyacanthocephalus_E00267","Myoxocephalus","polyacanthocephalus","","benthic","benthic",0.00292790772222222,0.0270595895555556,0.0170353402777778,76.9494503522222,0.003712304,0.03066545,0.019351983,96.86739863,"Psychrolutidae","polyacanthocephalus",1298
"Gempylidae_Nealotus_tripes_E00287","Nealotus","tripes","Fusiform","pelagic","pelagic",0.0019,0.0243875,0.0103625,52.652625,0.0027,0.026,0.0114,66.1721,"Gempylidae","tripes",1953
"Apogonidae_Nectamia_fusca_E00732","Nectamia","fusca","Deep bodied","demersal","demersal",0.00188333333333333,0.0331,0.01725,63.1822166666667,0.009,0.0369,0.0215,77.6795,"Apogonidae","fusca",1720
"Umbridae_Novumbra_hubbsi_G01402","Novumbra","hubbsi","","demersal","demersal",0.00314285714285714,0.0254285714285714,0.0154142857142857,68.7683,0.0036,0.027,0.0163,79.9925,"Umbridae","hubbsi",463
"Batrachoididae_Opsanus_pardus_E00513","Opsanus","pardus","Tadpole shaped","benthic","benthic",0.00123333333333333,0.02755,0.0150166666666667,70.3429,0.0038,0.0308,0.0179,76.1214,"Batrachoididae","pardus",1962
"Osteoglossidae_Osteoglossum_bicirrhosum_E00084","Osteoglossum","bicirrhosum","Fusiform","benthopelagic","demersal",0.00437142857142857,0.0170571428571429,0.0140285714285714,104.222042857143,0.0062,0.0191,0.0153,110.274,"Osteoglossidae","bicirrhosum",44
"Pleuronectidae_Parophrys_vetulus_E00445","Parophrys","vetulus","","benthic","benthic",0.00281428571428571,0.0234571428571429,0.0160285714285714,88.8499142857143,0.0035,0.0247,0.0177,94.593,"Pleuronectidae","vetulus",974
"Percopsidae_Percopsis_omiscomaycus_G01433","Percopsis","omiscomaycus","Fusiform","demersal","demersal",0.000585714285714286,0.0259714285714286,0.0156571428571429,72.5195428571429,9e-04,0.0275,0.0209,90.5791,"Percopsidae","omiscomaycus",588
"Siluridae_Phalacronotus_bleekeri_P02_A04_RG07","Phalacronotus","bleekeri","","demersal","demersal",3e-04,0.0184285714285714,0.0104857142857143,71.0191,5e-04,0.021,0.0145,93.7589,"Siluridae","bleekeri",287
"Pholidae_Pholis_ornata_N01732","Pholis","ornata","","benthic","benthic",0.00252211833333333,0.013838682625,0.00908763829166667,61.1965889091667,0.004055215,0.016915855,0.010717306,82.1084,"Pholidae","ornata",1247
"Heptapteridae_Pimelodella_cristata_P02_E03_RG87","Pimelodella","cristata","","demersal","demersal",0.000585714285714286,0.0247428571428571,0.0147714285714286,76.0045142857143,0.0015,0.027,0.0165,95.333,"Heptapteridae","cristata",332
"Polymixiidae_Polymixia_lowei_E01025","Polymixia","lowei","Deep bodied","demersal","demersal",0.00218571428571429,0.0318,0.0169142857142857,61.8267142857143,0.0032,0.0339,0.0187,65.0318,"Polymixiidae","lowei",641
"Polypteridae_Polypterus_senegalus_G01446","Polypterus","senegalus","","demersal","demersal",0.0004125,0.02535,0.017125,82.1756,0.0011,0.0263,0.0188,86.1244,"Polypteridae","senegalus",12
"Gobiidae_Risor_ruber_E00107","Risor","ruber","","benthic","benthic",0.0029,0.0352428571428571,0.0173714285714286,56.9362,0.0057,0.0405,0.0227,79.7295,"Gobiidae","ruber",1747
"Blenniidae_Salarias_fasciatus_E00988","Salarias","fasciatus","Tadpole shaped","benthic","benthic",0.00168571428571429,0.0303857142857143,0.0178142857142857,72.5619,0.0025,0.0344,0.0202,85.4897,"Blenniidae","fasciatus",877
"Scombridae_Scomber_japonicus_E00247","Scomber","japonicus","","pelagic","pelagic",0.00238571428571429,0.0296428571428571,0.0145,56.1057857142857,0.003,0.0314,0.0156,62.9372,"Scombridae","japonicus",1908
"Serrasalmidae_Serrasalmus_rhombeus_P1_A02_RG27","Serrasalmus","rhombeus","","benthopelagic","demersal",0.00195,0.0273,0.0191666666666667,88.07885,0.0031,0.0314,0.021,93.53,"Serrasalmidae","rhombeus",427
"Sphyraenidae_Sphyraena_sphyraena_E01143","Sphyraena","sphyraena","","pelagic","pelagic",0.00106666666666667,0.0343666666666667,0.0123166666666667,39.59745,0.0022,0.0383,0.0129,44.6217,"Sphyraenidae","sphyraena",920
"Myctophidae_Stenobrachius_leucopsarus_E00067","Stenobrachius","leucopsarus","Fusiform","pelagic","pelagic",0.0031875,0.0283125,0.01605,65.095025,0.0037,0.03,0.018,70.6125,"Myctophidae","leucopsarus",559
"Monacanthidae_Stephanolepis_hispidus_E00646","Stephanolepis","hispidus","Deep bodied","demersal","demersal",0.00298,0.05284,0.03038,60.2578,0.0062,0.0567,0.0339,67.713,"Monacanthidae","hispidus",1429
"Cichlidae_Symphysodon_discus_E00390","Symphysodon","discus","","benthopelagic","demersal",0.00208571428571429,0.0336142857142857,0.0235142857142857,80.4346,0.0041,0.0378,0.0264,91.3359,"Cichlidae","discus",695
